Food_Name,Calories_kcal,Carbs_g,Protein_g,Fat_g,Sodium_mg,Fiber_g,Saturated_Fat_g,Meal_Type
chicken egg roll,158,22.8,8.4,3.6,400.0,1.9,0.8,Snack
vegetable egg roll,153,25.0,5.2,3.6,400.0,2.2,0.6,Dinner
ham cheese roll,67,1.1,3.8,5.2,300.0,0.0,2.0,Snack
biscuit with ham,386,43.8,13.4,18.4,1100.0,0.8,11.4,Breakfast
lemon chicken,1440,122.0,68.6,74.9,1500.0,7.0,12.2,Snack
hummus,435,49.5,12.0,21.1,600.0,9.8,2.8,Dinner
croissant with egg cheese,368,24.3,12.8,24.7,600.0,0.0,14.1,Dinner
enchirito with cheese beef beans,344,33.8,17.9,16.1,1300.0,0.0,7.9,Lunch
sweet sour pork,38,3.3,1.2,2.2,3.0,0.1,0.4,Breakfast
crab cake,160,5.1,11.3,10.4,500.0,0.2,2.2,Snack
egg dinner roll,107,18.2,3.3,2.2,200.0,1.3,0.6,Lunch
english muffin with egg cheese sausage,472,28.8,22.1,29.9,800.0,0.3,11.4,Snack
buttermilk pancakes,86,10.9,2.6,3.5,200.0,0.0,0.7,Snack
omelet,94,0.4,6.4,7.1,13.0,0.0,2.0,Lunch
taco with chicken cheese lettuce,185,19.3,13.0,6.2,600.0,1.2,2.5,Lunch
spinach souffle,230,8.0,10.7,17.6,800.0,1.0,10.1,Lunch
english muffin with cheese sausage,365,27.3,14.3,22.3,700.0,0.5,8.8,Lunch
potato gratin,328,27.6,12.4,18.6,1100.0,4.4,11.6,Lunch
biscuit with egg,436,35.4,17.4,25.3,1200.0,0.3,8.5,Snack
french fries deep fried,222,29.4,2.4,10.5,100.0,2.7,1.7,Lunch
sweet sour chicken,46,4.4,1.8,2.3,43.0,0.2,0.4,Breakfast
burrito with beans beef,460,47.0,27.8,18.0,1400.0,7.2,7.0,Dinner
nachos with cinnamon sugar,592,63.4,7.2,36.0,400.0,0.0,18.2,Lunch
arroz con grandules,209,35.4,4.0,5.7,700.0,1.6,0.9,Lunch
chili con carne,271,33.1,14.7,8.8,1100.0,8.3,3.2,Snack
arroz con abichuelas,223,37.3,6.2,5.4,600.0,4.1,0.8,Lunch
biscuit with sausage,412,33.3,10.7,27.1,900.0,0.4,8.2,Lunch
vegetarian stew,304,17.3,42.0,7.4,1000.0,2.7,1.2,Lunch
chicken sandwich with cheese,632,41.6,29.4,38.8,1200.0,0.0,12.4,Snack
biscuit with egg steak,410,21.3,17.9,28.4,900.0,0.0,8.6,Lunch
taco salad,212,17.9,10.0,11.2,600.0,0.0,5.2,Dinner
succotash,213,46.8,9.7,1.5,500.0,0.0,0.3,Snack
nachos with cheese jalapeno peppers,608,60.1,16.8,34.1,1700.0,0.0,14.0,Dinner
biscuit with egg ham,442,31.4,20.4,27.0,1400.0,0.8,5.9,Snack
ladyfingers,103,16.9,3.0,2.6,16.0,0.3,0.9,Lunch
mozzarella steak fried,102,7.7,4.6,5.9,200.0,0.6,2.2,Dinner
tamale navajo,285,33.7,11.7,11.4,800.0,5.8,4.5,Snack
