Food_Name,Calories_kcal,Carbs_g,Protein_g,Fat_g,Sodium_mg,Fiber_g,Saturated_Fat_g,Meal_Type
hamburger mcdonalds,251,28.8,12.3,9.6,500.0,1.2,3.3,Snack
pepperoni pizza dominos,308,36.0,12.7,12.6,700.0,2.4,5.4,Breakfast
sausage pizza,325,35.5,13.3,14.3,700.0,2.7,5.8,Dinner
pepperoni pizza,313,35.5,13.0,13.2,800.0,2.6,5.7,Snack
pepperoni pizza pizza hut,269,30.3,12.3,10.9,800.0,1.6,5.0,Snack
cheese pizza pizza hut,260,30.0,11.5,10.5,700.0,1.7,4.8,Dinner
cheese pizza,285,35.7,12.2,10.4,600.0,2.5,4.8,Snack
cheese pizza dominos,278,35.9,11.7,9.7,600.0,2.4,4.4,Dinner
meat vegetable pizza,332,34.5,15.0,14.8,800.0,3.0,6.0,Lunch
sucker raw,146,0.0,26.6,3.7,0.0,0.0,0.7,Dinner
northern pike raw,348,0.0,76.3,2.7,200.0,0.0,0.5,Dinner
haddock cooked,135,0.0,30.0,0.8,400.0,0.0,0.2,Dinner
burbot cooked,104,0.0,22.3,0.9,100.0,0.0,0.2,Snack
pollock cooked,356,0.0,75.3,3.8,300.0,0.0,0.5,Snack
rainbow smelt raw,27,0.0,5.0,0.7,19.0,0.0,0.1,Dinner
whitefish cooked,265,0.0,37.7,11.6,100.0,0.0,1.8,Snack
walleye pike raw,148,0.0,30.4,1.9,11.0,0.0,0.4,Breakfast
carp cooked,275,0.0,38.9,12.2,100.0,0.0,2.4,Breakfast
wolffish cooked,293,0.0,53.4,7.3,300.0,0.0,1.1,Snack
snapper cooked,218,0.0,44.7,2.9,66.0,0.0,0.6,Snack
roe cooked,58,0.5,8.1,2.3,55.0,0.0,0.5,Dinner
anchovy raw,37,0.0,5.8,1.4,12.0,0.0,0.4,Lunch
herring raw,291,0.0,33.0,16.6,200.0,0.0,3.8,Snack
cod raw,189,0.0,41.1,1.5,100.0,0.0,0.3,Breakfast
tilapia raw,111,0.0,23.3,2.0,9.0,0.0,0.7,Dinner
whiting cooked,84,0.0,16.9,1.2,18.0,0.0,0.3,Snack
skipjack tuna cooked,407,0.0,86.9,4.0,100.0,0.0,1.3,Breakfast
salmon cooked,733,0.0,78.7,44.0,200.0,0.0,8.5,Breakfast
chum salmon cooked,474,0.0,79.5,14.9,200.0,0.0,3.3,Lunch
american shad cooked,363,0.0,31.3,25.4,43.0,0.0,0.0,Dinner
shark cooked,65,1.8,5.3,3.9,68.0,0.0,0.9,Dinner
trout cooked,118,0.0,16.5,5.3,27.0,0.0,0.9,Lunch
swordfish raw,196,0.0,26.7,9.0,100.0,0.0,2.2,Lunch
rainbow trout cooked,119,0.0,16.9,5.2,41.0,0.0,1.2,Dinner
fish sandwich with cheese,374,35.4,15.1,19.6,600.0,0.0,3.8,Dinner
jellyfish dried,21,0.0,3.2,0.8,5600.0,0.0,0.2,Snack
mullet raw,139,0.0,23.0,4.5,98.0,0.0,1.3,Snack
halibut cooked,353,0.0,71.7,5.1,300.0,0.0,1.1,Lunch
lingcod raw,213,0.0,44.2,2.7,100.0,0.0,0.5,Snack
orange roughy cooked,30,0.0,6.4,0.3,79.0,0.0,0.046,Breakfast
cisco raw,77,0.0,15.0,1.5,42.0,0.0,0.3,Snack
florida pompano cooked,186,0.0,20.8,10.7,50.0,0.0,4.0,Snack
snapper raw,218,0.0,44.7,2.9,100.0,0.0,0.6,Breakfast
fish sandwich,565,58.7,22.6,27.4,1300.0,0.0,4.3,Lunch
haddock raw,143,0.0,31.5,0.9,400.0,0.0,0.2,Breakfast
ocean perch raw,51,0.0,9.8,1.0,200.0,0.0,0.2,Snack
cuttlefish cooked,45,0.5,9.2,0.4,200.0,0.0,0.08,Lunch
cod cooked,189,0.0,41.1,1.5,100.0,0.0,0.3,Snack
seatrout raw,248,0.0,39.8,8.6,100.0,0.0,2.4,Breakfast
flounder raw,114,0.0,20.2,3.1,500.0,0.0,0.7,Breakfast
spot cooked,79,0.0,11.9,3.1,22.0,0.0,0.9,Snack
walleye pike cooked,148,0.0,30.4,1.9,69.0,0.0,0.4,Dinner
perch raw,55,0.0,11.6,0.6,37.0,0.0,0.1,Dinner
pumpkin seed sunfish raw,43,0.0,9.3,0.3,60.0,0.0,0.051,Breakfast
salt mackerel,415,0.0,25.2,34.1,6100.0,0.0,9.7,Breakfast
mackerel cooked,231,0.0,21.0,15.7,64.0,0.0,3.7,Dinner
tilapia cooked,111,0.0,22.8,2.3,11.0,0.0,0.8,Dinner
drum raw,236,0.0,34.7,9.8,100.0,0.0,2.2,Snack
atlantic croaker fried,192,6.6,15.8,11.0,300.0,0.3,3.0,Snack
pumpkin seed sunfish cooked,42,0.0,9.2,0.3,46.0,0.0,0.025,Dinner
wolffish raw,294,0.0,53.6,7.3,300.0,0.0,1.1,Snack
bluefin tuna cooked,276,0.0,44.9,9.4,20.0,0.0,2.4,Snack
scup cooked,68,0.0,12.1,1.8,61.0,0.0,0.0,Lunch
herring cooked,290,0.0,32.9,16.6,200.0,0.0,3.7,Snack
bluefish raw,186,0.0,30.1,6.4,28.0,0.0,1.4,Breakfast
sheepshead cooked,234,0.0,48.4,3.0,100.0,0.0,0.7,Snack
bass cooked,91,0.0,15.0,2.9,78.0,0.0,0.6,Snack
pout cooked,279,0.0,58.4,3.2,200.0,0.0,1.1,Dinner
chinook salmon raw,709,0.0,78.9,41.3,200.0,0.0,12.3,Breakfast
rockfish raw,172,0.0,35.1,2.6,100.0,0.0,0.7,Snack
tilefish raw,371,0.0,67.6,8.9,200.0,0.0,1.7,Snack
scup raw,174,0.0,31.3,4.5,82.0,0.0,1.1,Lunch
sablefish cooked,755,0.0,51.9,59.3,200.0,0.0,12.4,Snack
tuna salad,383,19.3,32.9,19.0,800.0,0.0,3.2,Snack
coho salmon cooked,255,0.0,34.7,11.8,60.0,0.0,2.8,Lunch
roe raw,20,0.2,3.1,0.9,52.0,0.0,0.2,Dinner
sea bass raw,125,0.0,23.8,2.6,84.0,0.0,0.7,Snack
pink salmon cooked,349,0.0,56.0,12.0,200.0,0.0,2.2,Lunch
sockeye salmon cooked,493,0.0,82.1,17.3,300.0,0.0,3.0,Breakfast
whitefish raw,265,0.0,37.8,11.6,100.0,0.0,1.8,Dinner
greenland halibut cooked,760,0.0,58.6,56.4,300.0,0.0,9.9,Breakfast
northern pike cooked,350,0.0,76.5,2.7,200.0,0.0,0.5,Breakfast
salmon raw,824,0.0,80.9,53.1,200.0,0.0,12.1,Lunch
turbot cooked,388,0.0,65.4,12.0,600.0,0.0,0.0,Snack
surimi,28,1.9,4.3,0.3,42.0,0.0,0.059,Lunch
chinook salmon cooked,711,0.0,79.2,41.2,200.0,0.0,9.9,Lunch
mullet cooked,140,0.0,23.1,4.5,1.0,0.0,1.3,Lunch
chum salmon raw,3,0.0,0.6,0.1,29.0,0.0,0.08,Lunch
butterfish raw,47,0.0,5.5,2.6,72.0,0.0,1.1,Dinner
sea bass cooked,125,0.0,23.9,2.6,58.0,0.0,0.7,Snack
greenland halibut raw,759,0.0,58.6,56.5,300.0,0.0,9.9,Breakfast
halibut raw,371,0.0,75.7,5.4,300.0,0.0,1.2,Breakfast
sturgeon cooked,184,0.0,28.2,7.0,19.0,0.0,1.6,Snack
fish fillet fried,211,15.4,13.3,11.2,500.0,0.5,2.6,Breakfast
rainbow trout raw,111,0.0,15.8,4.9,22.0,0.0,1.1,Snack
pout raw,278,0.0,58.6,3.2,200.0,0.0,1.1,Breakfast
rainbow smelt cooked,35,0.0,6.4,0.9,47.0,0.0,0.2,Lunch
monkfish raw,22,0.0,4.1,0.4,59.0,0.0,0.079,Breakfast
trout raw,117,0.0,16.4,5.2,51.0,0.0,0.9,Snack
shark raw,37,0.0,5.9,1.3,3.0,0.0,0.3,Snack
burbot raw,104,0.0,22.4,0.9,100.0,0.0,0.2,Snack
dolphinfish cooked,173,0.0,37.7,1.4,200.0,0.0,0.4,Snack
crayfish cooked,25,0.0,5.0,0.4,58.0,0.0,0.089,Snack
dolphinfish raw,173,0.0,37.7,1.4,200.0,0.0,0.4,Dinner
perch cooked,54,0.0,11.4,0.5,43.0,0.0,0.1,Dinner
cusk raw,106,0.0,23.2,0.8,86.0,0.0,0.2,Breakfast
bluefin tuna raw,41,0.0,6.6,1.4,13.0,0.0,0.4,Snack
milkfish cooked,54,0.0,7.4,2.4,76.0,0.0,0.0,Breakfast
carp raw,277,0.0,38.9,12.2,100.0,0.0,2.4,Snack
sturgeon raw,30,0.0,4.6,1.1,7.0,0.0,0.3,Snack
orange roughy raw,22,0.0,4.6,0.2,63.0,0.0,0.057,Dinner
catfish fried,199,7.0,15.7,11.6,200.0,0.6,2.9,Dinner
cuttlefish raw,22,0.2,4.6,0.2,100.0,0.0,0.002,Lunch
bass raw,90,0.0,14.9,2.9,55.0,0.0,0.6,Dinner
flounder cooked,109,0.0,19.4,3.0,500.0,0.0,0.7,Lunch
milkfish raw,42,0.0,5.8,1.9,98.0,0.0,0.5,Lunch
eel raw,375,0.0,37.6,23.8,100.0,0.0,4.8,Lunch
catfish raw,189,0.0,24.2,9.4,200.0,0.0,2.1,Lunch
fish sticks,78,6.1,3.1,4.5,100.0,0.4,1.0,Lunch
coho salmon raw,254,0.0,33.8,12.2,54.0,0.0,2.9,Breakfast
monkfish cooked,27,0.0,5.3,0.6,4.0,0.0,0.0,Dinner
yellowtail cooked,546,0.0,86.6,19.6,100.0,0.0,0.0,Lunch
yellowfin tuna cooked,37,0.0,8.2,0.2,11.0,0.0,0.054,Snack
ling cooked,168,0.0,36.8,1.2,300.0,0.0,0.0,Dinner
eel cooked,67,0.0,6.7,4.2,69.0,0.0,0.9,Dinner
sablefish raw,753,0.0,51.8,59.1,200.0,0.0,12.4,Lunch
salmon nuggets,60,4.0,3.6,3.3,5.0,0.0,0.4,Breakfast
yellowtail raw,546,0.0,86.5,19.6,100.0,0.0,4.8,Lunch
butterfish cooked,47,0.0,5.5,2.6,42.0,0.0,0.0,Breakfast
caviar,42,0.6,3.9,2.9,200.0,0.0,0.6,Snack
pollock raw,355,0.0,75.0,3.8,300.0,0.0,0.5,Dinner
catfish cooked,206,0.0,26.4,10.3,200.0,0.0,2.3,Snack
whiting raw,83,0.0,16.8,1.2,16.0,0.0,0.2,Breakfast
pink salmon raw,404,0.0,65.2,14.0,200.0,0.0,2.6,Breakfast
yellowfin tuna raw,31,0.0,6.9,0.1,49.0,0.0,0.073,Snack
mackerel raw,230,0.0,20.8,15.6,100.0,0.0,3.6,Breakfast
turbot raw,388,0.0,65.5,12.0,600.0,0.0,3.1,Snack
cusk cooked,106,0.0,23.1,0.8,47.0,0.0,0.0,Dinner
atlantic croaker raw,82,0.0,14.0,2.5,14.0,0.0,0.9,Snack
sucker cooked,148,0.0,26.6,3.7,19.0,0.0,0.7,Dinner
spot raw,79,0.0,11.8,3.1,22.0,0.0,0.9,Snack
drum cooked,236,0.0,34.6,9.7,100.0,0.0,2.2,Breakfast
crayfish raw,3,0.0,0.6,0.048,24.0,0.0,0.01,Snack
tilefish cooked,441,0.0,73.5,14.1,200.0,0.0,2.6,Breakfast
bluefish cooked,186,0.0,30.1,6.4,45.0,0.0,1.4,Snack
grouper cooked,238,0.0,50.2,2.6,100.0,0.0,0.6,Snack
sheepshead raw,257,0.0,48.1,5.7,200.0,0.0,1.4,Lunch
herring kippered,87,0.0,9.8,4.9,400.0,0.0,1.1,Breakfast
grouper raw,238,0.0,50.2,2.6,100.0,0.0,0.6,Lunch
ocean perch cooked,48,0.0,9.3,0.9,200.0,0.0,0.2,Breakfast
ling raw,168,0.0,36.7,1.2,300.0,0.0,0.2,Lunch
lingcod cooked,329,0.0,68.4,4.1,200.0,0.0,0.8,Dinner
florida pompano raw,184,0.0,20.7,10.6,81.0,0.0,3.9,Snack
rockfish cooked,162,0.0,33.1,2.4,100.0,0.0,0.6,Breakfast
seatrout cooked,247,0.0,39.9,8.6,100.0,0.0,2.4,Breakfast
sockeye salmon raw,562,0.0,84.4,22.2,400.0,0.0,4.7,Snack
swordfish cooked,182,0.0,24.9,8.4,100.0,0.0,2.0,Breakfast
american shad raw,362,0.0,31.2,25.3,1.0,0.0,5.8,Breakfast
sardine canned in oil,310,0.0,36.7,17.1,500.0,0.0,2.3,Lunch
anchovy canned in oil,8,0.0,1.2,0.4,100.0,0.0,0.001,Breakfast
salmon canned,520,0.0,79.1,20.3,1800.0,0.0,5.5,Dinner
sardines in tomato sauce canned,165,0.5,18.6,9.3,400.0,0.009,2.4,Dinner
sockeye salmon canned,563,0.0,79.5,24.9,1400.0,0.0,4.9,Snack
tuna canned,102,0.0,18.9,2.4,300.0,0.0,0.6,Breakfast
pink salmon canned,530,0.0,80.9,20.4,1700.0,0.0,3.5,Snack
cod canned,328,0.0,71.0,2.7,700.0,0.0,0.5,Dinner
eastern oyster canned,110,6.3,11.4,4.0,200.0,0.0,1.0,Breakfast
chum salmon canned,520,0.0,79.1,20.3,300.0,0.0,5.5,Breakfast
tuna canned in oil,331,0.0,47.2,14.4,700.0,0.0,2.3,Snack
wild pink salmon oceans,320,0.0,0.0,16.0,0.0,0.0,0.0,Dinner
shrimp canned,128,0.0,26.1,1.7,1100.0,0.0,0.2,Breakfast
alaska king crab raw,144,0.0,31.5,1.0,1400.0,0.0,0.2,Snack
scallops fried,64,6.4,2.6,3.2,200.0,0.0,0.8,Dinner
shrimp cooked,7,0.013,1.3,0.092,12.0,0.0,0.023,Snack
clams fried,19,1.0,1.3,1.0,68.0,0.0,0.3,Lunch
alaska king crab cooked,130,0.0,25.9,2.1,1400.0,0.0,0.2,Breakfast
scallops cooked,11,0.5,2.1,0.058,60.0,0.0,0.092,Lunch
squid fried,140,6.2,14.4,6.0,200.0,0.0,1.5,Dinner
oyster raw,41,2.5,4.7,1.2,59.0,0.0,0.3,Lunch
abalone,89,5.1,14.5,0.6,300.0,0.0,0.1,Lunch
queen crab raw,25,0.0,5.2,0.3,200.0,0.0,0.096,Dinner
whelk cooked,78,4.4,13.5,0.2,100.0,0.0,0.003,Snack
oyster cooked,41,2.5,4.7,1.2,66.0,0.0,0.3,Lunch
eastern oyster cooked,8,0.7,0.7,0.2,38.0,0.0,0.073,Snack
blue mussels cooked,344,14.8,47.6,9.0,700.0,0.0,1.7,Lunch
octopus raw,23,0.6,4.2,0.3,64.0,0.0,0.002,Snack
spiny lobster cooked,233,5.1,43.0,3.2,400.0,0.0,0.5,Dinner
blue mussels raw,129,5.5,17.9,3.4,400.0,0.0,0.6,Lunch
queen crab cooked,98,0.0,20.2,1.3,600.0,0.0,0.2,Dinner
dungeness crab cooked,140,1.2,28.3,1.6,500.0,0.0,0.2,Lunch
dungeness crab raw,140,1.2,28.4,1.6,500.0,0.0,0.2,Dinner
shrimp fried,52,4.8,1.3,3.2,200.0,0.1,0.7,Dinner
shrimp raw,4,0.041,0.7,0.023,83.0,0.0,0.061,Lunch
blue crab cooked,71,0.0,15.2,0.6,300.0,0.0,0.2,Lunch
shrimp imitation,29,2.6,3.5,0.4,200.0,0.0,0.019,Lunch
conch baked,165,2.2,33.4,1.5,200.0,0.0,0.5,Breakfast
squid raw,26,0.9,4.4,0.4,90.0,0.0,0.1,Snack
scallop raw,10,0.5,1.8,0.091,57.0,0.0,0.089,Breakfast
lobster raw,116,0.0,24.8,1.1,600.0,0.0,0.3,Breakfast
scallop imitation,28,3.0,3.6,0.1,200.0,0.0,0.065,Dinner
blue crab raw,18,0.018,3.8,0.2,79.0,0.0,0.067,Lunch
whelk raw,39,2.2,6.7,0.1,73.0,0.0,0.096,Snack
spiny lobster raw,234,5.1,43.1,3.2,400.0,0.0,0.5,Dinner
clams canned,227,9.4,38.8,2.5,200.0,0.0,0.5,Breakfast
lobster cooked,134,0.0,28.5,1.3,700.0,0.0,0.3,Lunch
eastern oyster fried,29,1.7,1.3,1.8,15.0,0.0,0.5,Dinner
clams raw,195,8.1,33.3,2.2,1400.0,0.0,0.4,Lunch
octopus cooked,139,3.7,25.3,1.8,400.0,0.0,0.4,Dinner
eastern oyster raw,8,0.8,0.7,0.2,21.0,0.0,0.0,Lunch
oyster fried,61,6.7,2.1,3.0,100.0,0.0,0.8,Breakfast
sturgeon smoked,49,0.0,8.8,1.2,200.0,0.0,0.3,Snack
chinook salmon smoked,159,0.0,24.9,5.9,1100.0,0.0,1.3,Breakfast
cisco smoked,50,0.0,4.6,3.4,100.0,0.0,0.5,Snack
haddock smoked,33,0.0,7.1,0.3,200.0,0.0,0.049,Lunch
whitefish smoked,147,0.0,31.8,1.3,1400.0,0.0,0.3,Dinner
red salmon sockeye filets smoked,373,0.0,65.5,12.3,65.0,0.0,2.8,Breakfast
eggnog,224,20.4,11.6,10.6,100.0,0.0,6.6,Snack
beer light,96,5.4,0.8,0.0,95.0,0.0,0.0,Breakfast
beer budweiser,12,0.9,0.1,0.0,95.0,0.0,0.0,Snack
weizenbier erdinger,220,0.0,0.0,18.0,0.0,0.0,13.0,Breakfast
beer light budweiser,9,0.4,0.066,0.0,16.0,0.0,0.0,Snack
beer,142,11.7,1.5,0.0,67.0,0.0,0.0,Snack
root beer,202,52.3,0.0,0.0,68.0,0.0,0.0,Lunch
whiskey sour mix,26,6.3,0.051,0.072,73.0,0.0,0.069,Snack
whiskey sour,158,13.9,0.0,0.0,67.0,0.0,0.018,Lunch
tequila sunrise,232,23.8,0.6,0.2,100.0,0.0,0.0,Snack
daiquiri,112,4.2,0.035,0.036,8.0,0.001,0.063,Dinner
pina colada,245,32.0,0.6,2.7,89.0,0.4,2.3,Dinner
whiskey,58,0.1,0.0,0.0,0.0,0.0,0.0,Dinner
rum,49,0.0,0.0,0.0,53.0,0.0,0.0,Snack
vodka smirnoff,13,2.0,0.0,0.4,0.0,0.0,0.013,Lunch
coffee liqueur,96,13.8,0.041,0.038,93.0,0.0,0.096,Lunch
gin,53,0.0,0.0,0.0,29.0,0.0,0.0,Snack
dessert wine sweet,165,14.1,0.2,0.0,47.0,0.0,0.0,Dinner
chenin blanc white wine,118,4.9,0.1,0.0,0.0,0.0,0.0,Dinner
gamay red wine,115,3.5,0.1,0.0,0.0,14.4,0.0,Lunch
late harvest white wine,172,20.6,0.1,0.0,0.0,13.1,0.0,Dinner
gewurztraminer white wine,119,3.8,0.1,0.0,0.0,0.0,0.0,Breakfast
burgundy red wine,172,7.4,0.1,0.0,0.0,0.0,0.0,Lunch
zinfandel red wine,129,4.2,0.1,0.0,0.0,0.0,0.0,Dinner
muller thurgau white wine,112,5.2,0.1,0.0,0.0,13.3,0.0,Lunch
mouvedre red wine,129,3.9,0.1,0.0,0.0,16.5,0.0,Breakfast
table wine,123,4.0,0.1,0.0,87.0,0.0,0.0,Lunch
wine light,73,1.7,0.1,0.0,46.0,0.0,0.0,Lunch
white wine,121,3.8,0.1,0.0,98.0,0.0,0.0,Lunch
petite sirah red wine,125,3.9,0.1,0.0,0.0,15.7,0.0,Lunch
non alcoholic wine,2,0.3,0.1,0.0,95.0,0.0,0.0,Breakfast
pinot noir red wine,121,3.4,0.1,0.0,0.0,0.0,0.0,Snack
pinot gris grigio white wine,122,3.0,0.1,0.0,0.0,0.0,0.0,Lunch
riesling white wine,118,5.5,0.1,0.0,0.0,0.0,0.0,Lunch
barbera red wine,170,5.6,0.1,0.0,0.0,0.0,0.0,Dinner
lemberger red wine,118,3.6,0.1,0.0,0.0,15.0,0.0,Lunch
merlot red wine,122,3.7,0.1,0.0,11.0,0.0,0.0,Dinner
sangiovese red wine,126,3.9,0.1,0.0,0.0,0.0,0.0,Snack
sauvignon blanc white wine,119,3.0,0.1,0.0,0.0,0.0,0.0,Breakfast
syrah red wine,122,3.8,0.1,0.0,0.0,0.0,0.0,Breakfast
carignane red wine,370,12.0,0.4,0.0,0.0,0.0,0.0,Snack
pinot blanc white wine,119,2.9,0.1,0.0,0.0,0.0,0.0,Breakfast
semillon white wine,121,4.6,0.1,0.0,0.0,14.9,0.0,Snack
dessert wine dry,760,58.4,1.0,0.0,0.0,76.5,0.0,Snack
red wine,125,3.8,0.1,0.0,27.0,0.0,0.0,Snack
cabernet sauvignon red wine,166,5.2,0.1,0.0,0.0,0.0,0.0,Breakfast
muscat white wine,123,7.8,0.1,0.0,0.0,0.0,0.0,Dinner
cooking wine,2,0.3,0.028,0.0,2.0,0.0,0.0,Snack
chardonnay white wine,168,4.3,0.1,0.0,27.0,0.0,0.0,Lunch
claret red wine,122,4.4,0.1,0.0,0.0,15.0,0.0,Breakfast
rice sake,197,7.4,0.7,0.0,46.0,0.0,0.0,Snack
fume blanc white wine,121,3.3,0.1,0.0,0.0,15.4,0.0,Snack
cabarnet franc red wine,122,3.6,0.1,0.0,0.0,0.0,0.0,Lunch
chocolate frosting,81,13.0,0.2,3.6,25.0,0.2,1.1,Dinner
white sugar,19,5.0,0.0,0.0,12.0,0.0,0.0,Dinner
egg substitute,115,4.8,24.0,0.0,500.0,0.0,0.0,Dinner
agave syrup,21,5.3,0.025,0.081,90.0,0.01,0.0,Snack
splenda sweetener,336,91.2,0.0,0.0,0.0,0.0,0.0,Snack
vanilla extract,12,0.5,0.0,0.069,61.0,0.0,0.003,Snack
egg yolk dried,27,0.054,1.3,2.3,71.0,0.0,0.7,Breakfast
granulated sugar,16,4.2,0.0,0.0,19.0,0.0,0.0,Lunch
baking chocolate,145,8.7,3.7,15.2,49.0,4.8,9.4,Snack
bakers yeast,18,3.1,1.4,0.3,66.0,1.4,0.089,Lunch
fondant,106,26.4,0.0,0.009,22.0,0.0,0.0,Lunch
brown sugar,16,4.1,0.024,0.0,94.0,0.0,0.0,Dinner
white frosting dry,768,196.4,4.8,0.0,500.0,0.0,0.0,Breakfast
maple sugar,42,10.9,0.036,0.061,31.0,0.0,0.076,Snack
fructose sweetener,15,4.2,0.0,0.0,13.0,0.0,0.0,Dinner
saccharin sweetener,360,89.1,0.9,0.0,400.0,0.0,0.0,Dinner
egg white raw,17,0.2,3.6,0.063,38.0,0.0,0.0,Snack
turbinado sugar,18,4.6,0.0,0.0,8.0,0.0,0.0,Lunch
vanilla frosting,1931,313.7,0.0,75.0,900.0,0.0,13.7,Dinner
aspartame sweetener,365,89.1,2.2,0.0,0.0,0.0,0.0,Lunch
egg raw,80,0.4,7.0,5.3,80.0,0.0,1.8,Breakfast
pineapple topping,860,225.8,0.3,0.3,100.0,1.4,0.066,Lunch
egg white dried,26,0.3,5.8,0.087,52.0,0.0,0.0,Breakfast
egg yolk raw,55,0.6,2.7,4.5,6.0,0.0,1.6,Lunch
baking soda,0,0.0,0.0,0.0,1300.0,0.0,0.0,Dinner
egg dried,30,0.047,2.4,2.2,60.0,0.0,0.7,Dinner
strawberry topping,53,13.9,0.014,0.096,99.0,0.1,0.071,Breakfast
bakers yeast dry,13,1.6,1.6,0.3,81.0,1.1,0.078,Snack
almond paste,1040,108.5,20.4,63.0,51.0,10.9,6.0,Breakfast
cream of tartar,8,1.8,0.0,0.0,9.0,0.01,0.0,Breakfast
popover dry mix,631,120.7,17.7,7.3,1500.0,0.0,1.7,Lunch
egg substitute powder,126,6.2,15.7,3.7,200.0,0.0,1.1,Lunch
gelatin powder,17,0.0,4.3,0.086,29.0,0.0,0.09,Breakfast
tapioca pearls,544,134.8,0.3,0.093,77.0,1.4,0.075,Dinner
baking powder,2,1.3,0.0,0.0,500.0,0.03,0.0,Lunch
egg boiled,93,0.7,7.5,6.4,42.0,0.0,2.0,Snack
millet flour,444,86.9,12.8,5.1,56.0,4.2,0.6,Lunch
triticale flour,439,95.1,17.1,2.4,96.0,19.0,0.4,Lunch
corn flour white,414,87.3,9.6,4.2,36.0,7.3,0.6,Snack
rice flour brown,574,120.8,11.4,4.4,39.0,7.3,0.9,Breakfast
sorghum flour,437,93.7,9.5,4.0,23.0,8.0,0.6,Snack
cornmeal whole grain,442,93.8,9.9,4.4,22.0,8.9,0.6,Breakfast
cornmeal white,581,124.7,11.2,2.7,94.0,6.1,0.3,Breakfast
barley flour,511,110.3,15.5,2.4,62.0,14.9,0.5,Breakfast
safflower seed meal,97,13.8,10.1,0.7,6.0,0.0,0.029,Snack
sesame flour,658,33.3,38.5,46.4,41.0,0.0,6.5,Breakfast
whole grain wheat flour,408,86.4,15.9,3.0,27.0,12.8,0.5,Dinner
corn flour yellow,422,89.9,8.1,4.5,40.0,8.5,0.6,Snack
corn flour whole grain,422,89.9,8.1,4.5,33.0,8.5,0.6,Dinner
cottonseed flour low fat,94,10.2,14.1,0.4,22.0,0.0,0.082,Breakfast
sunflower seed flour,13,1.4,1.9,0.013,73.0,0.2,0.036,Lunch
sesame meal,160,7.4,4.8,13.6,73.0,0.0,1.9,Breakfast
acorn flour,626,68.3,9.4,37.7,0.0,0.0,4.9,Dinner
rice flour white,578,126.6,9.4,2.2,0.0,3.8,0.6,Dinner
sesame flour low fat,94,10.0,14.2,0.5,72.0,0.0,0.011,Snack
potato flour,571,133.0,11.0,0.5,42.0,9.4,0.1,Lunch
cornmeal yellow,581,124.7,11.2,2.7,11.0,6.1,0.3,Snack
rye flour,364,78.2,10.0,1.4,61.0,8.2,0.2,Dinner
arrowroot flour,457,112.8,0.4,0.1,2.0,4.4,0.019,Breakfast
chickpea flour,356,53.2,20.6,6.2,50.0,9.9,0.6,Lunch
wheat flour,455,95.4,12.9,1.2,61.0,3.4,0.2,Breakfast
cornstarch,488,116.8,0.3,0.03,93.0,1.2,0.077,Breakfast
carob flour,13,5.3,0.3,0.061,33.0,2.4,0.041,Lunch
buckwheat flour,402,84.7,15.1,3.7,33.0,12.0,0.8,Snack
pecan pie,503,63.7,6.0,27.1,300.0,0.0,4.9,Breakfast
apple pie,331,46.4,3.0,15.6,300.0,0.0,3.8,Dinner
vanilla wafer pie crust,935,88.4,6.5,63.7,900.0,0.2,13.1,Breakfast
chocolate pie crust,881,117.4,11.1,40.8,900.0,4.9,8.6,Lunch
apple strudel,195,29.2,2.3,8.0,20.0,1.6,1.5,Lunch
chocolate snack cake,200,30.2,1.8,8.0,200.0,1.6,2.4,Lunch
fruit fried pie,404,54.5,3.8,20.6,400.0,3.3,3.1,Snack
pumpkin pie,316,40.9,7.0,14.4,300.0,0.0,4.9,Breakfast
corn cake,35,7.5,0.7,0.2,10.0,0.2,0.019,Snack
sponge snack cake,157,26.9,1.5,4.8,200.0,0.4,1.7,Snack
danish pastry with nuts,280,29.7,4.6,16.4,200.0,1.3,3.8,Lunch
chocolate cream pie,301,33.3,2.6,19.2,100.0,2.0,4.9,Lunch
angel food cake,72,16.2,1.7,0.2,200.0,0.4,0.071,Snack
lemon meringue pie,362,49.7,4.8,16.4,300.0,0.0,4.0,Breakfast
danish pastry with cinnamon,349,46.9,4.8,16.7,300.0,0.0,3.5,Dinner
cinnamon coffeecake,238,26.6,3.9,13.3,200.0,1.1,3.3,Snack
cheesecake,257,20.4,4.4,18.0,400.0,0.3,7.9,Breakfast
fruitcake,139,26.5,1.2,3.9,13.0,1.6,0.5,Lunch
egg custard,293,31.0,14.2,12.9,200.0,0.0,6.1,Lunch
mince pie,477,79.2,4.3,17.8,400.0,4.3,4.4,Breakfast
yellow cake with chocolate frosting,546,79.7,4.6,25.6,400.0,2.2,8.3,Dinner
danish pastry with fruit,335,45.1,4.8,15.9,300.0,0.0,3.3,Lunch
white cake with coconut frosting,399,70.8,4.9,11.5,300.0,1.1,4.4,Lunch
danish pastry with cheese,353,28.7,5.8,24.6,300.0,0.0,5.1,Lunch
graham cracker pie crust,917,117.7,9.3,45.4,900.0,3.5,9.1,Breakfast
blueberry pie,360,49.2,4.0,17.5,300.0,0.0,4.3,Snack
yellow cake with vanilla frosting,239,37.6,2.2,9.3,200.0,0.2,1.5,Lunch
pie crust,121,10.9,1.5,8.0,100.0,0.4,2.0,Snack
